,Title,Published_date,Duration,Views,Likes,Comments
0,Creating a Collaborative Phone Policy for Kids,2024-06-10,PT59S,37369,1755,29
1,Dr. Jonathan Haidt: How Smartphones & Social Media Impact Mental Health & the Realistic Solutions,2024-06-10,PT2H26M56S,225713,6440,612
2,LIVE EVENT Q&A: Dr. Andrew Huberman at the Brisbane Convention & Exhibition Centre,2024-06-07,PT53M9S,44048,1238,136
3,Dr. Mary Claire Haver: How to Navigate Menopause & Perimenopause for Maximum Health & Vitality,2024-06-03,PT2H18M19S,145452,5145,684
4,Brief Post-Meal Walks & Blood Sugar Regulation,2024-06-01,PT44S,407154,18528,186
5,What Should You Do if You Get a Concussion?,2024-05-27,PT1M,106007,3256,95
6,Dr. Diego Bohórquez: The Science of Your Gut Sense & the Gut-Brain Axis,2024-05-27,PT2H42M13S,222900,5132,423
7,Dr. Gary Steinberg: How to Improve Brain Health & Offset Neurodegeneration,2024-05-20,PT1H55M4S,180756,4536,435
8,LIVE EVENT Q&A: Dr. Andrew Huberman at the ICC Sydney Theatre,2024-05-17,PT51M19S,50663,1315,113
9,Dr. James Hollis: How to Find Your True Purpose & Create Your Best Life,2024-05-13,PT2H39M48S,598066,17273,1189
10,"Dr. Matt Walker: The Science of Dreams, Nightmares & Lucid Dreaming | Huberman Lab Guest Series",2024-05-08,PT2H33M6S,302522,5886,705
11,"Dr. Casey Means: Transform Your Health by Improving Metabolism, Hormone & Blood Sugar Regulation",2024-05-06,PT2H56M27S,419364,9337,922
12,Dr. Matt Walker: Improve Sleep to Boost Mood & Emotional Regulation | Huberman Lab Guest Series,2024-05-01,PT2H15M14S,194850,4162,372
13,"AMA #17: Making Time for Fitness, Top Sleep Tools & Best Learning Strategies",2024-04-30,PT25M30S,90867,2692,112
14,Protocols to Strengthen & Pain Proof Your Back,2024-04-29,PT2H8M4S,260721,7225,670
15,"Dr. Matt Walker: Using Sleep to Improve Learning, Creativity & Memory | Huberman Lab Guest Series",2024-04-24,PT2H28M28S,174503,4162,339
16,The Impact of E-Cigarette and Vape Chemicals and Flavors on the Lungs and Brain,2024-04-22,PT1M,69408,2632,157
17,The NASA Nap Culture: Boosting Alertness & Productivity with Short Naps,2024-04-22,PT59S,205374,8400,226
18,"Dr. Bonnie Halpern-Felsher: Vaping, Alcohol Use & Other Risky Youth Behaviors",2024-04-22,PT2H31M25S,100896,2311,337
19,The Importance of High Standards in Mentoring,2024-04-21,PT53S,54409,2184,37
20,LIVE EVENT Q&A: Dr. Andrew Huberman at the Sydney Opera House,2024-04-19,PT52M54S,72318,1736,133
21,"Dr. Matt Walker: How to Structure Your Sleep, Use Naps & Time Caffeine | Huberman Lab Guest Series",2024-04-17,PT2H18M59S,292944,6128,517
22,Dr. David Yeager: How to Master Growth Mindset to Improve Performance,2024-04-15,PT2H26M10S,451502,6503,441
23,A Simple Solution for Quickly Returning to Sleep at Night,2024-04-12,PT56S,382158,12395,430
24,How to Get Rid of Hiccups,2024-04-11,PT57S,84563,5580,134
25,How Body Position & Temperature Impact Sleep Stages & Quality,2024-04-10,PT1M,324083,10872,230
26,Dr. Matt Walker: Protocols to Improve Your Sleep | Huberman Lab Guest Series,2024-04-10,PT2H42M55S,402518,8437,807
27,Coleman Ruiz: Overcoming Physical & Emotional Challenges,2024-04-08,PT3H18M3S,427127,4504,432
28,Dr. Matt Walker: The Biology of Sleep & Your Unique Sleep Needs | Huberman Lab Guest Series,2024-04-03,PT2H59M34S,587465,13393,1610
29,Benefits & Risks of Peptide Therapeutics for Physical & Mental Health,2024-04-01,PT1H26M42S,211859,6177,942
30,Asi Wind: What Magic & Mind Reading Reveal About the Brain,2024-03-25,PT2H51M38S,278627,5749,1220
31,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Melbourne, AU",2024-03-22,PT58M26S,120842,2871,274
32,"Dr. E.J. Chichilnisky: How the Brain Works, Curing Blindness & How to Navigate a Career Path",2024-03-18,PT2H6S,137413,2842,308
33,Dr. Cal Newport: How to Enhance Focus and Improve Productivity,2024-03-11,PT2H56M59S,687355,18004,968
34,How Placebo Effects Work to Change Our Biology & Psychology,2024-03-04,PT1H18M16S,157995,4826,519
35,"AMA #16: Sleep, Vertigo, TBI, OCD, Tips for Travelers, Gut-Brain Axis & More",2024-02-29,PT56M49S,107529,3083,331
36,Dr. Becky Kennedy: Protocols for Excellent Parenting & Improving Relationships of All Kinds,2024-02-26,PT2H54M2S,1051593,16489,1074
