"video_id","title","published_date","duration","views","likes","comments","episode_type","guest_name","genre","video_link"
0,"Creating a Collaborative Phone Policy for Kids","2024-06-10","00:00:59",31448,1482,28,"Short Clip","Dr. Jonathan Haidt","Mental Health & Addiction","https://youtu.be/G1VUSu6sGoU?si=q5h0K4Lqoa82VDTx"
1,"Dr. Jonathan Haidt: How Smartphones & Social Media Impact Mental Health & the Realistic Solutions","2024-06-10","02:26:56",147268,4797,492,"Guest Episode","Dr. Jonathan Haidt","Mental Health & Addiction","https://youtu.be/csubiPlvFWk"
2,"LIVE EVENT Q&A: Dr. Andrew Huberman at the Brisbane Convention & Exhibition Centre","2024-06-07","00:53:09",40530,1178,134,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/-e9ErUozQo4?si=FXJYHD_X3i___XYn"
3,"Dr. Mary Claire Haver: How to Navigate Menopause & Perimenopause for Maximum Health & Vitality","2024-06-03","02:18:19",132530,4770,638,"Guest Episode","Dr. Mary Claire Haver","Hormone Health","https://youtu.be/6P8hrzjnetU"
4,"Brief Post-Meal Walks & Blood Sugar Regulation","2024-06-01","00:00:44",329947,15568,165,"Short Clip","Dr. Casey Means","Metabolism & Immunity","https://youtube.com/shorts/XY0rBdaDXD8?si=JMiDhQ7vp9lzVPH5"
5,"What Should You Do if You Get a Concussion?","2024-05-27","00:01:00",103800,3182,95,"Short Clip","Dr. Gary Steinberg","Injury & Recovery","https://youtube.com/shorts/bUr_9fgfnto?si=gNSS6sgBwGncFhWF"
6,"Dr. Diego Bohórquez: The Science of Your Gut Sense & the Gut-Brain Axis","2024-05-27","02:42:13",217158,5018,420,"Guest Episode","Dr. Diego Bohórquez","Gut Health","https://youtu.be/SZSRgyl7pyQ"
7,"Dr. Gary Steinberg: How to Improve Brain Health & Offset Neurodegeneration","2024-05-20","01:55:04",176548,4442,434,"Guest Episode","Dr. Gary Steinberg","Neurobiology & Physiology | Injury & Recovery | Supplements | Mental Health & Addiction | Fitness & Recovery","https://youtu.be/nqNEtdHVUjM?si=RnW6XsTiNFma4ftT"
8,"LIVE EVENT Q&A: Dr. Andrew Huberman at the ICC Sydney Theatre","2024-05-17","00:51:19",50236,1309,113,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/yOoVz9E9kfQ?si=KFW6crMJZ4zx61UB"
9,"Dr. James Hollis: How to Find Your True Purpose & Create Your Best Life","2024-05-13","02:39:48",582581,16887,1169,"Guest Episode","Dr. James Hollis","Psychological Health & Self-Development | Mental Health & Addiction | Emotions & Relationships | NSDR, Meditation & Rest","https://youtu.be/SyWC8ZFVxGo"
10,"Dr. Matt Walker: The Science of Dreams, Nightmares & Lucid Dreaming | Huberman Lab Guest Series","2024-05-08","02:33:06",297664,5799,701,"Guest Series","Dr. Matt Walker","Sleep","https://youtu.be/Jy4rJcYmtUM"
11,"Dr. Casey Means: Transform Your Health by Improving Metabolism, Hormone & Blood Sugar Regulation","2024-05-06","02:56:27",410696,9164,918,"Guest Episode","Dr. Casey Means","Metabolism & Immunity","https://youtu.be/8qaBpM73NSk"
12,"Dr. Matt Walker: Improve Sleep to Boost Mood & Emotional Regulation | Huberman Lab Guest Series","2024-05-01","02:15:14",192474,4120,371,"Guest Series","Dr. Matt Walker","Sleep","https://youtu.be/S_SrHS8FvMM"
13,"AMA #17: Making Time for Fitness, Top Sleep Tools & Best Learning Strategies","2024-04-30","00:25:30",90166,2677,111,"AMA","Dr. Andrew Huberman","Fitness & Recovery | Focus, Productivity & Creativity | The Science of Well-being","https://youtu.be/jGZ1mR9uLU0"
14,"Protocols to Strengthen & Pain Proof Your Back","2024-04-29","02:08:04",257693,7169,667,"Solo Episode","Dr. Andrew Huberman","Injury & Recovery | Fitness & Recovery | Neurobiology & Physiology","https://youtu.be/PVmQOLYckKQ"
15,"Dr. Matt Walker: Using Sleep to Improve Learning, Creativity & Memory | Huberman Lab Guest Series","2024-04-24","02:28:28",173096,4145,340,"Guest Series","Dr. Matt Walker","Sleep","https://youtu.be/F9KrZd_-ge0"
16,"The Impact of E-Cigarette and Vape Chemicals and Flavors on the Lungs and Brain","2024-04-22","00:01:00",68620,2597,157,"Short Clip","Dr. Bonnie Halpern-Felsher","Alcohol, Tobacco & Cannabis | Mental Health & Addiction | Neurobiology & Physiology","https://youtube.com/shorts/C3X0bUAiluE?si=LOeVdxVVRYMBV9B5"
17,"The NASA Nap Culture: Boosting Alertness & Productivity with Short Naps","2024-04-22","00:00:59",196966,8061,221,"Short Clip","Dr. Matt Walker","Sleep","https://youtube.com/shorts/xX6hiEmDmxs?si=KtEFfYA3WFNDabBp"
